Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      ND16      ND17      ND18      ND19      ND20      Egz.
Vardas2947           Pavarde2947                      5         5         6        10         5         1         6         6         5         7         4         6         1        10         4         6         5        10         4         4         5
Vardas2948           Pavarde2948                      8         2         9         6         5         3         7         9         8         4         7         6         9         8         9         4         5         3         6         9         2
Vardas2949           Pavarde2949                      3         2         5         6         6         1         5         7        10         7         4         1         2         4         6         4         3         3        10         7         4
Vardas2950           Pavarde2950                      5        10         4        10         3         8         5         7         6        10         5         9         1         1         4         3         4         4         2         1         8
Vardas2951           Pavarde2951                      6         2         3         9         8         1         1         5         5         3         8         1         8         8         8         7         9         5         9         4         6
Vardas2952           Pavarde2952                      7         9        10         8        10        10         6         1         2         7         2         8         6        10         8         4         9        10         3         5         4
Vardas2953           Pavarde2953                      5         7         6         2         6         6         6         5         2         4         8         1         1        10         6         1         4         8         7         1         3
Vardas2954           Pavarde2954                      1         6         4         5        10        10         3         2         9         9         3         9         1         4         8         6         9         4         8         3         9
Vardas2955           Pavarde2955                      8         3         2         5         7         8         6        10         2        10         5         7         7         5         1         7         7         2         9         2         6
Vardas2956           Pavarde2956                      9        10         7         5         9         7         9        10         3         2         4         4         7        10         7         8         2         7         4         1         3
Vardas2957           Pavarde2957                      4         2         4        10         1         5         3         2         7        10         8         7         9         9         4         1        10         5        10         6         3
Vardas2958           Pavarde2958                      6         1         7        10         8         6         6         8         6         9         3         6         2         7         6        10         5         2         5         3        10
Vardas2959           Pavarde2959                      1         9         1         8         7         1         1         8        10         4         1        10         6         8         7         2         8         2         9         2         7
Vardas2960           Pavarde2960                      3         8         6         3         1         9         3         7         6         6         6         5        10         1         1        10         1        10         1         9        10
Vardas2961           Pavarde2961                      8         1        10        10         3         1        10         3         2         8         8         6         6         9         9         5         3         9         9         4         2
Vardas2962           Pavarde2962                      9         1        10         5         1         5         9         9         5        10         5         8         9        10         8         3         1         8         9         6         1
Vardas2963           Pavarde2963                     10         9         6         5         6         3         9         9         1        10         5         8         1         1         3        10         3        10         4         5         8
Vardas2964           Pavarde2964                      7         5         1         2         9         2         4         7         5         1         6         7         4         6         1         9         7         4         1         1        10
Vardas2965           Pavarde2965                      8         6         1         6         6         8         2         1         1         9         3         2         7         4        10         2         6         8         7         2         5
Vardas2966           Pavarde2966                      2         4        10         3         7         3         5         2         5         8        10         6        10        10         9         8         9         8         9         5         8
Vardas2967           Pavarde2967                     10         1         4         7        10         4        10         7         6         9         3         8         1         4         1         5         5         4         2         3         7
Vardas2968           Pavarde2968                      6         4         3         4         1        10        10         2         5         5         1         7         8        10         7         6         5         5         9         9         4
Vardas2969           Pavarde2969                      1         5         6        10         9         9         5         2         4         3         5         1         9        10         6         3         2         2         6         9         4
Vardas2970           Pavarde2970                      5         5         3        10         9         2         7         3         6         5        10         4         7        10         3         1         9         7         4         6         1
Vardas2971           Pavarde2971                      6         9         2         4         6        10         8         4        10         9         3         1         8         5         5         1         8         1         8         5        10
Vardas2972           Pavarde2972                     10         3         7         7         7         3         6         8         1         9         1         1         2         9         1         6         8         2        10         7         4
Vardas2973           Pavarde2973                      2         1         3         1         3        10         3        10         4         5        10         3         2         7         9        10         8        10         4         9         3
Vardas2974           Pavarde2974                      6         6         9        10         6         3         7         1         5         7         2         1         2         2         6         6         9         4         6         8         7
Vardas2975           Pavarde2975                     10         1        10         8         8         7         5         8         6         5         9         2         1         6        10         2        10         9         9         3         4
Vardas2976           Pavarde2976                      6         1        10         3         8         6         4         4         8        10         9         8         4         2         5         7         2         2         3         7         9
Vardas2977           Pavarde2977                      1         5         1         5         8         8         1         6         8        10         1         4         4         7         3         1         1         8         1         5         6
Vardas2978           Pavarde2978                      8        10         7         9         2         3         6         5         4         9         5         4         1        10         1         8         6         2         7         1         6
Vardas2979           Pavarde2979                      6         5         9         6         3         6         3         6         2         3         9         5         8         4         8         6         2         1         1         2         5
Vardas2980           Pavarde2980                      5        10         2         1         6         4        10         4         6         7         5         7         6         1         3         6         1        10         5         9         1
Vardas2981           Pavarde2981                      9         4         5         6         3         6         9         9         3        10         2         4         1         1         6         4         4         6         8         2        10
Vardas2982           Pavarde2982                      4         2         7         2         9         5         5         4         6         5         9         5         8         9         1         3         1         7         6         4         2
Vardas2983           Pavarde2983                      4        10         2         6         7         5         4         6         4         1         9         5         6         7         4         1        10        10         3         5         8
Vardas2984           Pavarde2984                      4        10        10         7         4         3         3         7         1         2        10         5         1         4         8         4        10         6         1         7         9
Vardas2985           Pavarde2985                      3         4         7         9         5         4         3         2         9         9         3         7         8         7         8         1         5         1         9         1         9
Vardas2986           Pavarde2986                      9         4         2         8         1         6         4        10         1         3         3         5         5         2         1         8         2        10         1         9         3
Vardas2987           Pavarde2987                      6         6         4         9        10         6         1         3         6         1         2         3         4         7         5        10         7         3         8         3         7
Vardas2988           Pavarde2988                      8         9         9        10         6         8         6         4         4        10         3         9         5        10         2         9         1         8         7         7         4
Vardas2989           Pavarde2989                      8         3         8         9         2         1         6         5         2         4         4         1         6         9         3         4         6         7         3         7         7
Vardas2990           Pavarde2990                      7         8         1         2        10         3         6         1         1         7         8         3         6         5        10         8         4         2         4         1         2
Vardas2991           Pavarde2991                      6         5         6        10        10         9         1         9         3        10         6         1         4         3         6         6         6         9         3         7         7
Vardas2992           Pavarde2992                      5         8         4         6         4         7         6         2         7         1        10         5         9        10         6         5         1         4         8         1         9
Vardas2993           Pavarde2993                      3         5         8         6         6         9         2         2         4         4         6         4         1         2         2         3         2         6         8         5         7
Vardas2994           Pavarde2994                      1         3         8         3        10         2         5         1         6         7         5         6         3         6        10         1         5         5        10         2        10
Vardas2995           Pavarde2995                      6         9        10         2         6         1         9        10         5         2         2         2         8         3         2         6         8        10         6         9         1
Vardas2996           Pavarde2996                     10        10         8         9         1         4         9         3        10         9         9         9         1         5         1         5         5         2         6         2         8
Vardas2997           Pavarde2997                      9         9         6         8         5         6         7         8         3         8         1         9         6         3         2         9        10         4         1         4         2
Vardas2998           Pavarde2998                     10         5         7         5         4         4         2         5         2        10         6         1         3         6         9         1        10         5         1         3         7
Vardas2999           Pavarde2999                      2         7         2        10         7         5         9         4         1         7         2         1         5         9         7         6         9         8         7         9         5
Vardas3000           Pavarde3000                      8         6         5         1         9         4         1         9         4         1         3         3         5         9        10         6         6         7         4         2         8
Vardas3001           Pavarde3001                      4         4        10         1         4         3         7         8         2         1         1         4         3         2         2         6         1         1         6         3         4
Vardas3002           Pavarde3002                     10         6         8         5         3         8         5        10         8         6         8         4         8         8         6         3         8         4         3        10         7
Vardas3003           Pavarde3003                      3         8         9         8         7         9         7        10         6         4         6         4         2         8         5        10         1         7        10         4         6
Vardas3004           Pavarde3004                      9         3         3         9         6         5         1         2         9         1         4         9         3         9         8         1        10        10         1         1         4
Vardas3005           Pavarde3005                      8         1         8        10         2         7         6         7         1         2        10         5        10        10         7         7         5         5         7         6         1
Vardas3006           Pavarde3006                      8         8         2         9         5         9         5         9         9         9         7         8         3         1         9         7         2         6         7         8         4
Vardas3007           Pavarde3007                      3         9         7         5         7         9         1         9         8         1         8         6         9         5         1         3        10         3         1         6         4
Vardas3008           Pavarde3008                      4         3         6         1         8         5         5         4         1        10         1         3         6         2         8         6         7         8         9         2         6
Vardas3009           Pavarde3009                      2         3         7         3         8         2         4         4         6         2         5         5         5         1         9         7         6         9         4        10         8
Vardas3010           Pavarde3010                      9         1         6         9         6         7         1         1         1         2         7         7         7         7         7         5         5         2         9         2         9
Vardas3011           Pavarde3011                      5        10         1         6         8         3         7         7         8        10         4         2         3         9         9         7         2         8         6         8         3
Vardas3012           Pavarde3012                      1         4         3         2         9         1         6         9         1         1        10         9         5         4         3         3         3         6         6        10        10
Vardas3013           Pavarde3013                      5         7         7         1         5         3        10         1         6         6         7        10         1         2         1         9         4         9         8         8         9
Vardas3014           Pavarde3014                      2         3         7         3         7         5         6         7         4        10         7         8         5         8         4         4         2         9         1         2         5
Vardas3015           Pavarde3015                      9        10        10        10         7         6         4         3         9         9         3         9         9        10         1         5         9         2         5        10        10
Vardas3016           Pavarde3016                     10         1         6         9         2         4         5         8         8         6         7         6         2         8         6         1         8         7         4         8         3
Vardas3017           Pavarde3017                     10        10         4        10         6         3         3         4         2         2         2         8         8         1         4         1         5         6         4         7         1
Vardas3018           Pavarde3018                      2         6        10         3         1         5         3         2         6         3         9         5         1         5         3         5         3         7        10         9         2
Vardas3019           Pavarde3019                      2         7         3         6         3         6         7         5         8         1         3         6         4         9         1         6         2         8         5         6         4
Vardas3020           Pavarde3020                      7         4         6         2         6         6         1         4         1         4         9         9         7         9         7         5         2         9         6         2         8
Vardas3021           Pavarde3021                      2         2         1         4         8         3         4         1         4         4         2         1         5         1         7         4         7         2         5         3        10
Vardas3022           Pavarde3022                      6         7         1         9         5         6        10         6         3        10         4         4         7         4        10         6        10         3         8         5         9
Vardas3023           Pavarde3023                      8         8        10         5         6         8        10         2         7         8         6         3         3         4         1         7        10         6         3         8         4
Vardas3024           Pavarde3024                     10         2        10         8        10         6         4        10         5         5         9         7         2         9         8         4         4         4         8        10        10
Vardas3025           Pavarde3025                      1         9         1         2         6         8         9         3         8         7         1         9         4        10         6         5         8         1         8         7         5
Vardas3026           Pavarde3026                      3        10         7         4         8         3         9         3         2         6         6        10         6         3         4         7         7         2         9         3         4
Vardas3027           Pavarde3027                      7        10         1         5         2         4         1         3         3         8         3         5         6         9         1         2         9         9         5         8         7
Vardas3028           Pavarde3028                      8         3         2         7         3         3         7         6         5        10         4         2         1         3         8         4         8         8        10         3         5
Vardas3029           Pavarde3029                      4         8         2         6         7         7        10         3         4         9        10         4        10         8         1         7         2         4        10         2         8
Vardas3030           Pavarde3030                      3         3         5        10         9         9         2         4         3        10         6         4         2         8         1        10         1         5         4         7         1
Vardas3031           Pavarde3031                      5         1         9         4         4         5         4         9         7         9        10         5        10         5         8         6         5         2         1         9         4
Vardas3032           Pavarde3032                      6         2         7         7         3         8         8         8         1        10         3         8         2         7        10        10         3         2         4         2         4
Vardas3033           Pavarde3033                      5         1         2         6         5         5         7         9         4         6         8         9         5         8         3         6         9         9         8         3         4
Vardas3034           Pavarde3034                      4         5         4         6         3        10         7         9         3         1         1         2         4         7         1         6         3         5         7         3         1
Vardas3035           Pavarde3035                      5         8         1         9         6         7         8        10         2         5         7         6         6         1         2         7         3         7         6         5         5
Vardas3036           Pavarde3036                     10         6         4         1         6         7         8         7         1        10         7         7         2         4         2         3         9         9         6         6         3
Vardas3037           Pavarde3037                      8         7         1         5         6         1         6         3         7         5         5         3         2         8         8         9         7         2         8         1         1
Vardas3038           Pavarde3038                      7         6         8         5         2         7        10         2         4         7         6         3         1         7         6         2         1         6         7         3         6
Vardas3039           Pavarde3039                     10         2         5         6         8         9        10         1         7         4         4         5         7         1         4         3         1         4         8         9         5
Vardas3040           Pavarde3040                      3         7         3         5         7        10         6         4         2         6         8         5         7         1         8         2         4        10         1         6         4
Vardas3041           Pavarde3041                     10         9         9         3         1         8         2         5         9        10         8         6         9         8        10         5         5         7         6         1         4
Vardas3042           Pavarde3042                      9         4         1         3        10         6         2         5         7         3         1         4        10         3         6        10        10         4         4         4        10
Vardas3043           Pavarde3043                      6         1         6         6         9         7         5         9         9        10         8         7         6         2         2         4         5         6         3         4         9
Vardas3044           Pavarde3044                     10         4         6         7         5         3         5         6         8         7        10         3         3         3         6        10         8         5         2         5         9
Vardas3045           Pavarde3045                      7         8         9         8         6         8         9         6         8         8         1         5        10        10         4         3         4        10         1         7         7
Vardas3046           Pavarde3046                      9         9         6         9        10         3         4         9        10         6         9         4        10         3         4         4         9        10         5         8         4
Vardas3047           Pavarde3047                      3         2         5         1         2         1         4         8         7         5         6         1        10         9         1         3         8         8         5         3         1
Vardas3048           Pavarde3048                      5         3         4         7         8         9         7         9         2         4         1         9         5         4         1         3         3         9         8         1         6
Vardas3049           Pavarde3049                      7         2        10         7         8        10         7         9         9         2         7         5         3        10         9         8         4         6         1         2         6
Vardas3050           Pavarde3050                      1         7         6         3         9         5         9         9         7         1        10         9         2         5         1         2         8         8         2         5         6
Vardas3051           Pavarde3051                      1         5         8         4         7         8         8         5         8         8         5         6         7        10         2         2         7         9         3         1         9
Vardas3052           Pavarde3052                      1         4         2         4         9         8         8         7         7         6        10         3         3         2         7        10         3         2         1         4         3
Vardas3053           Pavarde3053                      5         8         7         2         8         6         2         2         3         4         2         7         9        10         5         2         1         2         5        10         3
Vardas3054           Pavarde3054                      5         7         3         5        10         3         8         1         2         4         3         9         8         4         5        10         9         3         6         3         8
Vardas3055           Pavarde3055                      1         4        10         9         9         6         9         3         2         6         6         3         3         2         1         5         8         9         8         5         8
Vardas3056           Pavarde3056                     10         6        10        10         6        10         7         1         9         5         7         4         6         8         7         6         4         2         2         4         4
Vardas3057           Pavarde3057                      4         5         3         6         4         4         2         5         4         2         4         2         6         3         4         1         2         3         7         6         9
Vardas3058           Pavarde3058                     10         1         9         6         3         7        10         9         2        10         1        10         2         2         3        10        10         6         3         2         3
Vardas3059           Pavarde3059                      2         5         5         9         2         6         3        10         9         8         7         2         8         9         2        10         7        10         3        10         4
Vardas3060           Pavarde3060                      2         1        10         8         5         5         8         5         3         9         1        10         4         9         8         2         3         9         5         4         1
Vardas3061           Pavarde3061                      5         6         2         3         4         7         9         4         7         3         8         1         6         4         8         3         1         4         5         6         7
Vardas3062           Pavarde3062                      2         8         5         8         5         1         5         8         3         5         5         3         8         1         7         5        10         7         8        10         2
Vardas3063           Pavarde3063                     10         5         5         1         1         6         1         4         2         5         3         3         3         3         9         4         6         4         1         7         4
Vardas3064           Pavarde3064                      8         4         6         4         2         2         3         1         8         6         4         6         8         9         5         3         4         2         7         7         7
Vardas3065           Pavarde3065                      9         4         4         1         6         8         8         7         3         3         4         9         2         3         5         5         5         5        10         8         4
Vardas3066           Pavarde3066                      9         4        10         3        10        10         2         2         6         6         4         1         9         1         5         7         8         9         8         4         1
Vardas3067           Pavarde3067                     10         8         4         3         8         5         1         7         5         9        10         7         5         4         1         1         9         3         1         9         5
Vardas3068           Pavarde3068                      6         6         1         8         2         4         5         6         4         2         1        10         5         7         5         1         4         3         2         6        10
Vardas3069           Pavarde3069                      7         8         6         6         4         3        10         3         8         6         5         2         1         1         1         3         2         8        10         5         4
Vardas3070           Pavarde3070                      2         3         2         4         4         2         2        10         3        10         9         3        10         4        10         3         6         6         3         6         1
Vardas3071           Pavarde3071                      7         1        10         6         6         6         2         1        10         7         9         9         2         3         7         5         4        10         5         1         5
Vardas3072           Pavarde3072                      3         2         7         5         4         4         5         4         3         4         9         1         2        10         2         1        10        10         8         9         9
Vardas3073           Pavarde3073                     10        10        10         1         2         7         3         6         8         7         6         5         6         7         6         6         4        10         9         5         5
Vardas3074           Pavarde3074                      4         5         7         4         3         4         8         5        10        10         6         2         8         8         2         7         1         1         3         1         2
Vardas3075           Pavarde3075                      5         6        10         4         7         4        10         5         5         7         9         3         3         6        10         6         7         6         2         7        10
Vardas3076           Pavarde3076                      5         9         9         6         5         4         2         1         5         5         8         1         2         6         4         6         6         1         6         3         7
Vardas3077           Pavarde3077                      7         3         6         2         3         6         5         7         8         1         7         7         3         3         9         6         8        10         3         8         9
Vardas3078           Pavarde3078                      3         3         5         5         7         4         5         2         8         6         5         2         6        10        10         2         7         6        10         6         7
Vardas3079           Pavarde3079                      9         2         7         1         6         5         5         7        10         9         1         7         4         8         3         1         7         8         9         5         4
Vardas3080           Pavarde3080                      4         6         4         8         2         2         5         5         7         5         1         3        10         1         4         2         5         9         3         1         7
Vardas3081           Pavarde3081                      4         1         4         9         5         8         7         5         3         8         1         7         9         5         2         1         3         7         6         7        10
Vardas3082           Pavarde3082                      1         2         9         7         6         4         3        10         7         1         3         1        10         3         2         7         2         9         3         9         3
Vardas3083           Pavarde3083                      3         8         7         8         5         3         4        10         7         3         1         8         5         7         6         1         9         5         5         3         5
Vardas3084           Pavarde3084                      6         4         6         7         5         8         2         9         3         4         5         9         7         4         3         1        10         9        10        10         4
Vardas3085           Pavarde3085                      3         6         3         3         3         2         3         5         4         7        10         2         5         5         6         4         3        10        10         6        10
Vardas3086           Pavarde3086                      1         7         3         4        10        10         1         8         1         1         5         5         6         1         1         7         5         3         2         4         7
Vardas3087           Pavarde3087                      5         2         8         4         8         5         5         2         5         9         4         1         6         1         8         1         7         5         3         6         6
Vardas3088           Pavarde3088                      1         2         3         9         7         6         7         7         9        10         6         3         2         5        10         4         8         8         4         5         2
Vardas3089           Pavarde3089                     10         8         1         7         6         2         1        10         7         6         6         6         8         5         3         3         9         5         6         2         5
Vardas3090           Pavarde3090                      1         8         4         7         9         4        10         9         3         8         7         1         7         6         9         4         2         4        10         1         4
Vardas3091           Pavarde3091                      9         6         2         5         5         9         2         8         5         9        10         6         7         5         1         4         5         7        10         3         5
Vardas3092           Pavarde3092                      9         6         1         9         5         1         5         7         7         5         2         1         7         7         9         6         2         7         4         6        10
Vardas3093           Pavarde3093                      4         4         3         4         1        10         2         7         5        10         5         1         7         6        10         6         6         3         7        10         8
Vardas3094           Pavarde3094                     10         3         4        10        10         3         5         2         4         7         7         3         7         2        10         8        10         6         1         1         5
Vardas3095           Pavarde3095                      2         9         1         8         3         7        10         8         3         5        10         7         9         4         7         7         3        10         7         4         9
Vardas3096           Pavarde3096                      9         3         6         8        10         5         2         4         9         8         7         8         6         2         2         2         5         4         9         8         7
Vardas3097           Pavarde3097                      3         5         4         8         5         6         8         8         6         7         1         1        10         4         7        10         3         7         2        10         1
Vardas3098           Pavarde3098                      2         7         6         1         9         9         7         9         6         4         5         2         4         1         3         7        10         4         9         4        10
Vardas3099           Pavarde3099                      7         8         5         5        10         1         8         9         2         9         3         6         8         8         1         6         8         2        10         6         1
Vardas3100           Pavarde3100                     10        10         8         6         3         4         9         9         6         6         1         8        10         3        10         9         8         5         1        10         2
Vardas3101           Pavarde3101                      5         6         9         9         8         8         1         9         9         5         5         2         2         7         9         3         7         5         1         1         5
Vardas3102           Pavarde3102                     10         8         7         5         2         3         9         4         7         8         3         3         5         3         1        10         3         8         3         1         5
Vardas3103           Pavarde3103                      2         5         8         9         6         7         2         6         6         3         4         9         1         8         8        10         4         8         1         2         4
Vardas3104           Pavarde3104                      9         2         1         4         4         3         4         7         9         3         5         6         4         2         5         7         5         7         1         2         9
Vardas3105           Pavarde3105                      3         3        10         4         9         7         2         2         6         7         5         1         3         3        10         2         6         5         8         5         1
Vardas3106           Pavarde3106                      7         7         9         4         9         2         7         6         3        10         1        10         2         5         8         7         2         5         6         5         4
Vardas3107           Pavarde3107                      9         4         1         3         4         5         8        10         2         6         3         9         6         7         9        10         4         9         9         1         6
Vardas3108           Pavarde3108                      7         4         5         5         9         2         3         9         3         8         8         1         5         6         4         3         3         6         9         8         2
Vardas3109           Pavarde3109                      7         5         8        10         3         3         9         6        10         4         9         9         6         6         1         4         6         2         9         4        10
Vardas3110           Pavarde3110                      3         4         3         8         2         3         8         8         1         3        10         1         3        10         6         8         8         1         6         6        10
Vardas3111           Pavarde3111                      4         3         1         1         3         2         4        10         2         9         6         2         4         6         9        10         6         6         7         2         7
Vardas3112           Pavarde3112                      7         3         7         3         1        10         3         2         7         3         3         2         8         8         1         9         2         7         6         7         2
Vardas3113           Pavarde3113                      3        10         2         5         5         8         2         2         5         2         3         6         1         7         4         7         6         4        10        10         3
Vardas3114           Pavarde3114                     10         7         9         3         8         9         4         9         6         2         4         9         6         3         6         6        10         5        10         3        10
Vardas3115           Pavarde3115                     10         8         9         8         4         8         4         6         9         2         6        10         3        10         8         3         7        10         4         3         3
Vardas3116           Pavarde3116                      1         3         7         7        10         8         2         2         3         2         8         5         6         2         7         2         1        10         1         6         7
Vardas3117           Pavarde3117                      5         2         8         3         2         5         9         5         7         3         5         6         7         9         2        10         4         5         5         4         2
Vardas3118           Pavarde3118                      2         7         6         5         9         8         1         7         2         4         8        10        10        10         6         6         3        10         6         5         9
Vardas3119           Pavarde3119                     10         1         2         7         1         5         3         3         4         9        10         7         3         9         3         9         2         5         4         6        10
Vardas3120           Pavarde3120                      1        10         2         1         7         4         5         5         6         4         8         5         1         5         9         1         6         5         6         1         8
Vardas3121           Pavarde3121                      9         6        10         9         8         4         9         5         7        10         9         9         2         6         9         1        10         5         5        10         7
Vardas3122           Pavarde3122                      8         3        10         3         8        10         6         6         3         9        10         3         2         7         1        10         2         9         3         8         2
